NN,KDE,DTM,data_size,grid_size
220132.4117,931798.5176207346,5.775920855658199e6,1000,16
940574.9130434783,3.8611727552123554e6,3.317605024503311e7,1000,32
3.66675918914956e6,1.4908142842261905e7,1.668006361e8,1000,64
2.3561195532516493e6,9.464845217391305e6,9.223064463636364e7,10000,16
9.261847103703704e6,3.769989593984962e7,5.488429541e8,10000,32
4.613760809174312e7,1.68777786e8,2.5632183955e9,10000,64
5.890468404004712e6,2.374678651658768e7,2.78588171e8,25000,16
2.8702101868571427e7,1.0539733160416667e8,1.5201064585e9,25000,32
1.1506597156818181e8,4.218524546666667e8,7.246038625e9,25000,64
1.1723274583138173e7,4.739916470754717e7,6.9131931275e8,50000,16
5.743737920454545e7,2.1233155895833334e8,3.445846708e9,50000,32
2.282923468181818e8,8.426233056666666e8,1.7232540375e10,50000,64
2.6494821682539683e7,1.0504822652083333e8,1.7591787503333333e9,100000,16
1.1328059075555556e8,4.206749166666667e8,7.740218209e9,100000,32
4.6116883727272725e8,1.674109083e9,3.9244165083e10,100000,64
