func,data_size,grid_size,min_runtime,max_runtime,med_runtime,mean_runtime
myNN,100,50,142209.0,5.164292e6,223042.0,263112.492
myNN,100,100,654708.0,9.523417e6,968500.0,1.0882115799216027e6
myNN,100,150,1.881875e6,8.530542e6,2.362e6,2.3529427651764704e6
myNN,100,200,3.634375e6,1.5501208e7,4.1549795e6,4.1729899866444073e6
myNN,300,50,476209.0,4.613792e6,697812.5,807431.7446670976
myNN,300,100,2.61675e6,1.7671709e7,3.182625e6,3.19494995399361e6
myNN,300,150,6.202542e6,1.0946208e7,6.921375e6,6.93022362465374e6
myNN,300,200,1.1412625e7,2.1844417e7,1.2376333e7,1.2485746481296757e7
myNN,700,50,1.113417e6,7.279417e6,1.6553335e6,1.7474099702797204e6
myNN,700,100,6.519625e6,1.1177916e7,7.206875e6,7.21615065945166e6
myNN,700,150,1.5083833e7,2.4738583e7,1.6261917e7,1.6318971524429968e7
myNN,700,200,3.1082416e7,3.7301625e7,3.41455e7,3.41958531292517e7
myNN,1000,50,2.044292e6,7.473167e6,2.462354e6,2.502732391891892e6
myNN,1000,100,9.407916e6,1.6444708e7,1.0286e7,1.0327978948453609e7
myNN,1000,150,2.5163667e7,3.2308166e7,2.7622625e7,2.7623593662983425e7
myNN,1000,200,4.588125e7,5.1842208e7,4.8889917e7,4.885805018446602e7
myKDE,100,50,711458.0,5.574333e6,916083.0,999433.969
myKDE,100,100,3.538834e6,7.738042e6,4.023854e6,4.0269846731078904e6
myKDE,100,150,8.213791e6,1.2550167e7,8.824312e6,9.035910124548737e6
myKDE,100,200,1.4768667e7,1.7641958e7,1.5690084e7,1.5715882429467084e7
myKDE,300,50,2.527833e6,8.691041e6,3.0805415e6,3.079206645320197e6
myKDE,300,100,1.1064375e7,1.6247208e7,1.18845e7,1.1899386287410926e7
myKDE,300,150,2.4971417e7,3.0018292e7,2.6402021e7,2.6400064063157894e7
myKDE,300,200,4.5944583e7,4.9674709e7,4.6914916e7,4.700638824299066e7
myKDE,700,50,6.116458e6,1.1306208e7,6.765458e6,6.727146107526882e6
myKDE,700,100,2.5996916e7,2.983725e7,2.7342416e7,2.7364835759562843e7
myKDE,700,150,6.00145e7,6.4628041e7,6.1952584e7,6.185097996296296e7
myKDE,700,200,1.17102125e8,1.27285958e8,1.202786045e8,1.2053293447619048e8
myKDE,1000,50,8.975958e6,1.5212417e7,9.58e6,9.606302692898273e6
myKDE,1000,100,3.7609833e7,4.2149e7,3.9080188e7,3.91155738984375e7
myKDE,1000,150,9.1686958e7,1.00322541e8,9.6449646e7,9.645592148076923e7
myKDE,1000,200,1.64896875e8,1.81368667e8,1.714377715e8,1.718089542e8
myDTM,100,50,3.684375e6,9.671417e6,4.0137295e6,4.21797597386172e6
myDTM,100,100,1.5297e7,1.9918875e7,1.65192915e7,1.666691483e7
myDTM,100,150,3.4360917e7,1.00895375e8,3.7157458e7,4.032708657258064e7
myDTM,100,200,5.9341334e7,1.12232084e8,6.3071792e7,6.935166156164384e7
myDTM,300,50,1.3233875e7,2.1902792e7,1.4503375e7,1.4659948812316716e7
myDTM,300,100,5.6113208e7,1.23092792e8,5.88429165e7,5.988502976190476e7
myDTM,300,150,1.25629166e8,1.94892167e8,1.32786229e8,1.405364247222222e8
myDTM,300,200,2.5275725e8,3.18540875e8,2.66744958e8,2.7529555484210527e8
myDTM,700,50,3.4545875e7,4.3324209e7,3.6216e7,3.6396893782608695e7
myDTM,700,100,1.43711542e8,2.12900792e8,1.49260167e8,1.546040796060606e8
myDTM,700,150,3.229305e8,3.77487792e8,3.35085666e8,3.4220240006666666e8
myDTM,700,200,6.75817125e8,7.67979292e8,7.3952575e8,7.339547144285715e8
myDTM,1000,50,5.1153209e7,5.8700334e7,5.27755e7,5.29687504e7
myDTM,1000,100,2.18919792e8,2.88789166e8,2.25108917e8,2.3510505877272728e8
myDTM,1000,150,4.71122792e8,5.44378958e8,5.039025625e8,5.095864041e8
myDTM,1000,200,1.002752875e9,1.1102075e9,1.089883958e9,1.0620269918e9
