func,data_size,grid_size,min_runtime,max_runtime,med_runtime,mean_runtime
rtdaNN,100,0,5277.833333333333,3.061514e6,6104.166666666667,6410.89925
rtdaNN,300,0,13291.0,52583.0,15708.0,15824.0244
rtdaNN,700,0,29500.0,89833.0,34375.0,34777.8795
rtdaNN,1000,0,42083.0,3.2159833e7,49417.0,53074.3662
rtdaDTM,100,0,732.2,159645.82727272727,842.0454545454545,1061.612460909091
rtdaDTM,300,0,1570.8,2.0826792e6,2450.0,3088.6182699999995
rtdaDTM,700,0,3187.5,3.18006775e6,4838.5,5987.8375625
rtdaDTM,1000,0,4482.142857142857,4.453916714285715e6,6881.0,8466.76932857143
rtdaMOM,100,0,188500.0,1.9426166e7,211416.0,250399.5117
rtdaMOM,300,0,409042.0,2.7737291e7,478792.0,553487.7570953437
rtdaMOM,700,0,804334.0,3.2089542e7,940083.0,1.0657246791808873e6
rtdaMOM,1000,0,1.147041e6,2.8526708e7,1.357458e6,1.5223018955223882e6
